Unique-Menu,Unique-Menu-Translation,Match
Arma tu roll vegetariano,Build your roll vegetarian,59
Sándwich Livianos,lightweight sandwich,76
Pizzas gourmet,gourmet pizzas,100
Momoka special rolls,Momoka special rolls,68
Rolls Premium,premium rolls,96
Otras Envolturas,other wrappers,78
Avocado,avocado,40
Líquido,net,100
Rolls Tempura y Apanados (8 Trozos y Calientes),tempura rolls and breaded (8 wedges and hot),82
Sandwiches y vienesas,Sandwiches and Viennese,97
Rolls Envueltos en Rainbow,Wrapped in Rainbow Rolls,73
Rolls Makimono Cubierto en Salmón,makimono rolls covered in salmon,93
Rolls Mixtos,mixed rolls,96
CHOICE Envuelto,wrapped choice,66
Roll Semillas,Seed Roll,86
Menú para peques,Menu for kids,70
Tempura y Panko Rolls,and panko tempura rolls,56
Exotic Rolls,exotic rolls,35
Menú Económico,Economic Overview,68
Hosomaki Envuelto en Nori,hosomaki wrapped in nori,100
Geishas,geishas,100
California Rolls,California Rolls,96
Fruta Rolls,fruit rolls,44
Para Continuar,to continue,100
Para los Que No Comen Sushi,for those who do not eat sushi,91
9 cortes (Cubierto de salmón fresco),9 courts (covered in fresh salmon),85
Tradiciones peruanas,Peruvian traditions,95
Línea Normal,normal line,100
Nuggets de Pollo,chicken nuggets,100
Parrillada Menú,Grill Menu,61
Hamburguesas Caseras,homemade burgers,100
Promociones Lemon,lemon promotions,78
Ensaladas o vegetarianos,salads or vegetarian,93
Appetizer fríos,cold appetizer,70
Sushi Envuelto en Papel Arroz,sushi rice wrapped in paper,75
Naturista,naturist,100
Clásicos,Classics,100
Ensaladas Ruby,salads ruby,89
Rolls en Sésamo,Rolls in Sesame,93
Rolls y Platos,Rolls and Dishes,96
Aves,poultry,44
Envuelto en Pulpo,wrapped in octopus,100
Bronto Lomitos,Bronto Lomitos,100
Ensalada surtida,stocked salad,100
Platos al vapor,steamed dishes,100
Roll Vegetarianos ( Sésamo- ciboulette),Roll Vegetarians (Sesamo chives),64
Quiches,quiches,100
Shirasi,shirasi,100
Pollo Furay,Chicken Furay,100
Hand roll,hand roll,32
Completos,Full,94
Sake Roll's,Roll's Sake,78
Apetizzer,apetizzer,100
Hosomakis Rolls envueltos en Nori,hosomakis rolls wrapped in nori,95
Futomakis rolls,futomakis rolls,96
Sugerencias Pop,pop suggestions,100
Promociones Individuales,individual promotions,100
Rolls Calientes Tempurizados (8 bocados),Hot Rolls Tempurizados (8 snacks),82
Un poco más,some more,100
Platos Árabes,Arab dishes,92
Ensaladas y sabores del mundo,salads and flavors of the world,100
Bebidas en Lata,canned drinks,87
Especialidades del Rincón Gourmet,gourmet specialties corner,68
Degustaciones sugeridas por el chef,tastings suggested by the chef,97
Carnes y pescados grille,meat and fish grille,88
Menú Diario,Daily Menu,91
Platos Fríos (Gohan),cold dishes (gohan),100
"Brochetas, Sopas y otros",skewers soups and other,72
Uramaki furay,uramaki Furay,92
